"sport","threshold_percent","qualifying_hedges","trade_count","total_pnl","pnl_per_hedge","return_on_stake","max_drawdown"
"fifa","85","7","28","12.958833","1.851262","0.018513","0.000123"
"fifa","86","6","24","13.078906","2.179818","0.021798","0.000123"
"fifa","87","4","16","9.443068","2.360767","0.023608","0.000115"
"fifa","88","2","8","7.414496","3.707248","0.037072","0"
"fifa","89","2","8","7.414496","3.707248","0.037072","0"
"fifa","90","2","8","7.414496","3.707248","0.037072","0"
"fifa","91","2","8","7.414496","3.707248","0.037072","0"
"fifa","92","2","8","7.414496","3.707248","0.037072","0"
"fifa","93","1","4","3.959091","3.959091","0.039591","0"
"fifa","94","0","0","0","","","0"
"fifa","95","0","0","0","","","0"
"fifa","96","0","0","0","","","0"
"fifa","97","0","0","0","","","0"
"fifa","98","0","0","0","","","0"
"fifa","99","0","0","0","","","0"
"fifa","100","0","0","0","","","0"
"lol_worlds_2025","0","12","48","-18.794737","-1.566228","-0.015662","0.016748"
"lol_worlds_2025","1","12","48","-18.794737","-1.566228","-0.015662","0.016748"
"lol_worlds_2025","2","12","48","-18.794737","-1.566228","-0.015662","0.016748"
"lol_worlds_2025","3","12","48","-18.794737","-1.566228","-0.015662","0.016748"
"lol_worlds_2025","4","12","48","-18.794737","-1.566228","-0.015662","0.016748"
"lol_worlds_2025","5","12","48","-18.794737","-1.566228","-0.015662","0.016748"
"lol_worlds_2025","6","12","48","-18.794737","-1.566228","-0.015662","0.016748"
"lol_worlds_2025","7","12","48","-18.794737","-1.566228","-0.015662","0.016748"
"lol_worlds_2025","8","12","48","-18.794737","-1.566228","-0.015662","0.016748"
"lol_worlds_2025","9","12","48","-18.794737","-1.566228","-0.015662","0.016748"
"lol_worlds_2025","10","12","48","-18.794737","-1.566228","-0.015662","0.016748"
"lol_worlds_2025","11","12","48","-18.794737","-1.566228","-0.015662","0.016748"
"lol_worlds_2025","12","12","48","-18.794737","-1.566228","-0.015662","0.016748"
"lol_worlds_2025","13","12","48","-18.794737","-1.566228","-0.015662","0.016748"
"lol_worlds_2025","14","11","44","-2.905848","-0.264168","-0.002642","0.003522"
"lol_worlds_2025","15","11","44","-2.905848","-0.264168","-0.002642","0.003522"
"lol_worlds_2025","16","11","44","-2.905848","-0.264168","-0.002642","0.003522"
